text,label_raw,source_dataset,label
بالنسبة لجماعة هايلة بزاف عرض 1200الف اكتيفيه ب امتياز #444*يعطوك 30جيقا ماشي 20جيقا وشكرا خاوتي.........,0.0,dataset_3,0
نحوها,0.0,dataset_3,0
ماكسي بيسك بزاف مافيهاش 20g,1.0,dataset_3,1
انا عندي هايلة و الماكسي و في 2 في حالة..الحل الوحيد هو لازم يدخلو الشركات الاجنبية كيما اورنج طيح عليهم البق سرعة انترنت خرافية و سعر مغري .,0.0,dataset_3,0
ههههه جيت هنا,0.0,dataset_3,0
البق ميزغدش عندنا 😅,0.0,dataset_3,0
انا صارلي نهب كبير فالانترنات جيزي هايلة معاها تقدر رآه تحكملي شهر. رجعت تحكم ١٥ يوم فقط,1.0,dataset_3,1
المشكل لي حيرني ان في رمضان جيزي هايلة ماكسي مكانش فيها ليميتاسيو و سرعت الانترنت كانت طيارة video 1080p كنت نشوفو نورمال,2.0,dataset_3,2
بدل تصويرة برك,0.0,dataset_3,0
هل عرض هايلة ماكسي 1500 دج فيه ليميتاسيون ؟؟,0.0,dataset_3,0
مدام تخفيض سرعة امر غير قانوني علاش ماتشكيش ل صلطات ضبط ولا دير مقاطعة,1.0,dataset_3,1
اول مرة نلقا واحد في يوتوب يفهم وميكترش لهدرا لمعندها حتي معنا مع محتوى الله يعطيك صحا اخي ✋بارب الله فيك,0.0,dataset_3,0
سلام عليكم خويا هايلة بزاف شحال تفليكسي 1000 و لا 1500 و هل تضاعف الأنترنت خلال الثلاث الأشهر الأولى فقط؟,0.0,dataset_3,0
@jeon jojo اختي نسقسيك لبيس تاعك هايلة بزاف تبقا ديما نفس عروض تاع 150 يمدولك 40 جيقا ولا تتبدل بعد 3 شهر تنقص على 40 جيقا ؟؟,0.0,dataset_3,0
انا نفليكسي في هايلة بزاف 1500 عجبتني خير من 1200 والنت سريعة وتمشي تقول مودام,2.0,dataset_3,2
في اوريدو استهلكة 60جيغا في 20يوم<br>وليوم وين شريت دجيزي هايلا بزاف,2.0,dataset_3,2
